SerialNumber,Customer,Product,StartDate,EndDate
8672634996,John Doe,Laptop,2023-01-09,2024-09-29
YW94238437,Emily Davis,Tablet,2023-10-26,2024-08-26
LUTLLKEC,Jane Smith,Smartphone,2023-11-24,2025-10-17
CY26462438,Jane Smith,Smartwatch,2023-10-17,2024-05-14
1339449329,Emily Davis,Tablet,2023-06-20,2025-06-03
7780297096,John Doe,Tablet,2023-12-04,2024-08-23
1202472273,David Brown,Smartphone,2023-04-07,2023-11-09
EF29806689,David Brown,Headphones,2023-11-06,2025-11-01
4926864070,Emily Davis,Laptop,2023-04-12,2023-12-29
ZS41624914,David Brown,Tablet,2023-08-09,2025-02-01
BX12473456,David Brown,Laptop,2023-08-02,2024-03-01
XUJBBYMY,John Doe,Tablet,2023-06-14,2025-04-17
4481266568,Michael Johnson,Smartwatch,2023-12-20,2024-12-06
1670602399,David Brown,Smartphone,2023-11-06,2024-07-25
8132471162,Emily Davis,Headphones,2023-07-12,2024-08-21
YU21502012,John Doe,Smartwatch,2023-10-15,2025-10-07
OO93552493,John Doe,Headphones,2023-05-24,2024-05-15
VS25858737,Michael Johnson,Smartphone,2023-11-14,2024-07-02
SO7923656,John Doe,Headphones,2023-10-09,2025-07-29
JJ69730446,David Brown,Headphones,2023-01-08,2024-07-22
5145591585,Jane Smith,Laptop,2023-03-08,2024-12-09
7438101899,Michael Johnson,Tablet,2023-01-21,2024-07-17
PB89498089,David Brown,Smartphone,2023-01-19,2024-04-25
MR8065073,Jane Smith,Headphones,2023-02-01,2024-01-28
9121296258,Jane Smith,Laptop,2023-07-19,2024-02-24
5310530036,John Doe,Smartwatch,2023-12-31,2024-10-11
TCEHQFNSZ,Michael Johnson,Headphones,2023-04-14,2024-05-14
HQ27064342,Jane Smith,Headphones,2023-07-10,2025-02-28
ZG14153824,David Brown,Tablet,2023-12-13,2024-11-10
KC97290754,Michael Johnson,Laptop,2023-09-20,2025-08-01
NR40803807,Michael Johnson,Smartwatch,2023-08-21,2025-04-18
ULMZOGJ,Michael Johnson,Smartwatch,2023-08-14,2025-06-27
4776611595,Emily Davis,Smartphone,2023-01-20,2023-08-12
1553354230,John Doe,Smartwatch,2023-11-27,2025-07-30
EA614518,David Brown,Laptop,2023-10-10,2024-09-22
4343478826,John Doe,Smartphone,2023-09-24,2025-09-13
3524776492,Emily Davis,Headphones,2023-11-10,2025-08-11
KAYPSSFCUT,Jane Smith,Tablet,2023-06-21,2025-02-22
UOFNHFF,Emily Davis,Laptop,2023-09-30,2025-01-15
1120779835,Emily Davis,Headphones,2023-07-18,2025-06-04
TJ27530457,Jane Smith,Tablet,2023-03-07,2023-10-17
LL42840851,John Doe,Headphones,2023-09-12,2025-07-28
4335654367,Michael Johnson,Tablet,2023-11-08,2025-04-04
9366716670,Emily Davis,Laptop,2023-03-21,2024-09-05
WS34615348,David Brown,Smartphone,2023-04-30,2025-02-02
TBALC,John Doe,Headphones,2023-12-06,2024-07-20
XO25306988,John Doe,Tablet,2023-03-15,2024-11-01
OSBOGAZV,David Brown,Laptop,2023-06-22,2024-05-05
1848163652,David Brown,Laptop,2023-01-08,2024-04-20
8619600190,John Doe,Headphones,2023-06-09,2024-07-02
PD66300030,Michael Johnson,Tablet,2023-02-26,2024-10-11
GFZKWDD,Emily Davis,Tablet,2023-11-29,2025-04-08
2321365845,Jane Smith,Smartwatch,2023-04-13,2025-03-13
IXGDUWB,Michael Johnson,Smartphone,2023-04-17,2024-07-24
YPHSHPFUWWG,John Doe,Smartphone,2023-03-28,2025-01-03
HK9792773,David Brown,Tablet,2023-09-20,2025-07-22
AMLBHWV,Michael Johnson,Laptop,2023-06-17,2024-09-06
QWLFNXQGPI,David Brown,Smartwatch,2023-03-24,2025-02-11
XVRTBDCWDZZ,Emily Davis,Tablet,2023-06-13,2024-11-28
5217648324,Jane Smith,Smartwatch,2023-02-12,2024-12-21
7945402637,David Brown,Laptop,2023-03-10,2023-11-01
FR32091288,John Doe,Tablet,2023-05-06,2024-06-02
GU18666767,David Brown,Smartphone,2023-12-29,2025-03-12
MX64127327,Michael Johnson,Smartphone,2023-07-22,2024-12-12
358279117,David Brown,Smartphone,2023-05-12,2025-01-28
NW43518199,David Brown,Headphones,2023-04-05,2024-10-21
7695754785,David Brown,Smartphone,2023-04-15,2024-07-04
LW27681688,Emily Davis,Laptop,2023-05-09,2023-12-17
QL16101944,Jane Smith,Smartphone,2023-04-18,2023-11-12
FN83287249,John Doe,Smartwatch,2023-11-20,2025-03-13
ATLKOSAN,Jane Smith,Laptop,2023-12-21,2024-12-01
742434507,David Brown,Smartwatch,2023-12-24,2024-11-13
HR82488345,Jane Smith,Smartphone,2023-04-07,2023-10-27
1386187046,Michael Johnson,Tablet,2023-12-21,2025-12-11
AN83968828,David Brown,Smartwatch,2023-04-01,2023-09-29
5701786780,John Doe,Headphones,2023-01-20,2024-09-28
4063860882,David Brown,Tablet,2023-05-01,2024-05-01
XJZOCTAPFLGC,John Doe,Tablet,2023-06-16,2024-06-05
BUYAFHVPO,Michael Johnson,Smartwatch,2023-06-20,2024-04-15
8351292809,John Doe,Headphones,2023-11-06,2024-07-11
8870448695,John Doe,Tablet,2023-09-16,2025-02-04
IY29094472,John Doe,Headphones,2023-01-28,2023-11-17
OO1633355,Michael Johnson,Headphones,2023-11-04,2025-04-11
HF78443425,Michael Johnson,Headphones,2023-12-01,2024-07-02
9970058252,John Doe,Smartwatch,2023-07-03,2024-04-04
UPIHEYJ,David Brown,Laptop,2023-10-18,2024-04-16
NFPDVQJLU,Emily Davis,Headphones,2023-03-24,2024-04-16
ZN36338263,David Brown,Smartphone,2023-11-12,2025-01-29
PS60752427,Emily Davis,Laptop,2023-05-02,2024-09-25
MO24622444,Jane Smith,Smartphone,2023-07-23,2024-06-08
MYHYLUJRR,Emily Davis,Headphones,2023-05-02,2025-01-17
OQFWMX,John Doe,Smartwatch,2023-08-20,2024-07-01
HQVWARGRYDX,John Doe,Tablet,2023-06-18,2024-06-12
VF97533153,Jane Smith,Smartwatch,2023-10-03,2025-01-18
4911351935,Jane Smith,Laptop,2023-01-08,2023-07-07
PT52851075,Jane Smith,Smartwatch,2023-09-29,2024-07-18
ZYDFQ,Emily Davis,Laptop,2023-12-03,2025-01-04
PT71172403,Michael Johnson,Smartwatch,2023-11-07,2024-08-09
XLIDVWBD,Jane Smith,Laptop,2023-04-15,2024-10-02
3606003773,David Brown,Headphones,2023-10-08,2024-04-29
CCDVSXV,David Brown,Tablet,2023-03-28,2024-11-07
MF53388360,John Doe,Tablet,2023-05-05,2025-01-05
CUKGOUMW,David Brown,Tablet,2023-04-18,2023-10-24
KWKSGOPOMYX,Emily Davis,Tablet,2023-04-28,2024-05-08
RAHTN,David Brown,Laptop,2023-08-21,2024-09-27
UEQSKAOKVVY,David Brown,Smartwatch,2023-06-29,2025-03-21
6141925986,Jane Smith,Smartwatch,2023-06-08,2024-10-28
ZOKMVQQZX,David Brown,Smartwatch,2023-01-11,2023-09-18
YC45811256,John Doe,Smartwatch,2023-12-25,2024-12-23
GDBFQSJAQC,David Brown,Tablet,2023-02-04,2024-11-18
JSMNYYCN,David Brown,Tablet,2023-10-10,2024-05-10
PYNGJHHRIUU,Emily Davis,Headphones,2023-07-23,2024-07-10
9040802822,Emily Davis,Laptop,2023-03-14,2025-02-19
GP25465429,Jane Smith,Smartwatch,2023-09-16,2024-09-04
7906671221,Michael Johnson,Headphones,2023-06-05,2025-01-13
SN31426240,Emily Davis,Laptop,2023-09-09,2024-10-02
ES98422645,Emily Davis,Smartphone,2023-06-04,2025-04-04
LQROIMXEPALT,David Brown,Smartwatch,2023-05-15,2024-04-26
YGKHTKG,John Doe,Headphones,2023-03-18,2024-08-28
AV38036188,David Brown,Headphones,2023-12-24,2025-12-08
XK33807694,David Brown,Tablet,2023-09-22,2025-07-11
2604451795,Emily Davis,Laptop,2023-02-08,2023-08-08
3247194520,David Brown,Smartwatch,2023-10-12,2024-09-05
1179845690,John Doe,Headphones,2023-01-12,2024-09-07
8605711650,Emily Davis,Smartwatch,2023-06-10,2025-02-24
DZEWIEBBKZX,David Brown,Smartwatch,2023-07-31,2024-03-26
BRGSZGGN,Michael Johnson,Smartwatch,2023-06-13,2023-12-19
CCXKVVCSXPD,David Brown,Tablet,2023-08-06,2024-03-31
FIVANTW,Michael Johnson,Headphones,2023-05-28,2024-10-25
OL86704134,Michael Johnson,Laptop,2023-07-16,2025-06-03
720650837,Jane Smith,Headphones,2023-11-29,2024-09-28
IM59854639,John Doe,Smartwatch,2023-02-10,2023-12-27
OEFLIYTVCVX,David Brown,Smartphone,2023-12-12,2024-08-17
ST78930091,Emily Davis,Smartphone,2023-07-29,2025-06-08
ETVWTMQELN,Michael Johnson,Smartphone,2023-04-06,2024-08-05
1060790582,Michael Johnson,Smartwatch,2023-01-05,2024-01-09
ESLTFMZHOJP,Jane Smith,Headphones,2023-12-25,2024-11-05
VQYKD,Michael Johnson,Tablet,2023-07-26,2025-06-13
HPNXVQNZQNBZ,Jane Smith,Smartphone,2023-04-12,2024-11-08
3274774925,Emily Davis,Smartphone,2023-06-17,2025-06-15
RA84880445,Jane Smith,Laptop,2023-01-27,2024-03-30
YFTHGG,David Brown,Headphones,2023-01-16,2024-04-15
HM26270450,Michael Johnson,Tablet,2023-08-24,2024-05-07
GOCTSI,Jane Smith,Tablet,2023-08-09,2024-04-18
EA49513572,Jane Smith,Smartphone,2023-02-05,2024-08-26
9598811961,Jane Smith,Laptop,2023-07-13,2024-10-08
HE39423949,Jane Smith,Smartphone,2023-09-02,2024-03-04
1722156567,Michael Johnson,Tablet,2023-12-02,2024-12-06
PB79138704,Emily Davis,Headphones,2023-03-16,2023-10-13
JIOGAJNRIDL,Emily Davis,Laptop,2023-10-10,2025-04-10
VLGHOPX,Michael Johnson,Smartphone,2023-09-01,2024-10-30
GCWPGWCCI,Emily Davis,Smartphone,2023-01-09,2024-05-28
OWTFFGV,David Brown,Laptop,2023-05-27,2024-07-12
LE32426892,Jane Smith,Smartphone,2023-05-01,2024-08-21
BZSAPLF,John Doe,Smartwatch,2023-02-16,2024-05-07
BNYJTSMCE,John Doe,Smartwatch,2023-06-27,2025-02-04
WVCLGKTFF,Emily Davis,Tablet,2023-04-11,2024-08-26
6882585344,Jane Smith,Smartwatch,2023-01-23,2024-11-30
4941067672,Jane Smith,Headphones,2023-09-28,2024-05-22
4219784033,Michael Johnson,Smartphone,2023-01-08,2024-04-24
3008135856,David Brown,Tablet,2023-12-03,2024-12-26
PL47870387,Emily Davis,Laptop,2023-11-16,2025-01-13
AT36052921,John Doe,Smartphone,2023-06-18,2024-11-25
NSOLPTW,Emily Davis,Tablet,2023-05-06,2024-03-30
UTUIS,John Doe,Headphones,2023-07-11,2024-03-21
WU62423253,Jane Smith,Tablet,2023-02-22,2024-08-27
CL18909538,John Doe,Smartwatch,2023-10-13,2025-09-29
ZW24861864,Emily Davis,Smartphone,2023-04-24,2023-12-08
TQ9418610,Jane Smith,Tablet,2023-03-23,2024-05-01
QTPJN,David Brown,Laptop,2023-12-11,2024-12-14
FQ30602459,Jane Smith,Headphones,2023-03-17,2024-12-15
IPHLJWJYDK,Emily Davis,Headphones,2023-05-13,2024-09-27
NOGYCOFH,Jane Smith,Smartphone,2023-11-28,2025-10-06
AA94263711,Jane Smith,Laptop,2023-11-17,2025-11-15
FU16723552,Emily Davis,Headphones,2023-05-30,2025-02-09
CZ34395543,Michael Johnson,Smartwatch,2023-10-23,2024-12-02
DX25794424,David Brown,Headphones,2023-10-31,2024-12-31
9218769633,John Doe,Headphones,2023-02-07,2024-02-01
RB37759460,David Brown,Smartwatch,2023-04-14,2025-04-06
CV42907309,Emily Davis,Smartphone,2023-06-14,2025-02-08
AS68317093,John Doe,Tablet,2023-09-24,2024-05-04
JDJQMBCAG,Jane Smith,Smartwatch,2023-04-11,2024-10-23
YIYXIAMBDHVW,David Brown,Headphones,2023-04-07,2024-05-09
WG74186454,John Doe,Smartphone,2023-02-13,2023-08-15
8159962970,David Brown,Headphones,2023-07-03,2024-07-06
NZRGBOKNRXPP,Jane Smith,Smartwatch,2023-09-29,2025-04-12
XKQIL,Emily Davis,Smartwatch,2023-02-03,2024-09-26
TROMZOMA,Emily Davis,Tablet,2023-04-11,2023-10-19
WVXXUDPZJJ,Emily Davis,Headphones,2023-07-23,2024-11-16
UJ16045047,Jane Smith,Laptop,2023-07-18,2024-04-28
9427116523,Michael Johnson,Smartwatch,2023-06-01,2024-05-17
WI73175050,David Brown,Smartwatch,2023-03-19,2023-11-28
QK20395655,Michael Johnson,Headphones,2023-09-18,2025-07-21
DC94119017,John Doe,Smartphone,2023-07-04,2025-05-01
FE40219987,John Doe,Tablet,2023-08-07,2024-12-05
NAKABIGJ,John Doe,Laptop,2023-01-21,2024-07-30
9896835994,David Brown,Laptop,2023-07-18,2025-04-14
WI12092630,Emily Davis,Headphones,2023-07-04,2024-02-12
WRXHXQZO,Emily Davis,Tablet,2023-01-30,2025-01-07
PWZLX,John Doe,Tablet,2023-10-16,2024-08-25
971909070,John Doe,Headphones,2023-03-29,2025-01-06
EQGNCGBZVC,David Brown,Tablet,2023-02-25,2025-02-13
8354883723,Jane Smith,Smartphone,2023-03-09,2024-06-30
NFGGBCJRBR,Emily Davis,Tablet,2023-07-08,2024-06-14
SV84464308,John Doe,Smartphone,2023-06-17,2024-11-24
TE63945317,David Brown,Laptop,2023-01-04,2024-06-23
PHEUYJAZV,Emily Davis,Tablet,2023-03-11,2024-06-20
WF42374998,Jane Smith,Headphones,2023-02-25,2024-12-29
RK11259887,Jane Smith,Headphones,2023-11-04,2025-03-03
BYWXMQE,Jane Smith,Tablet,2023-12-19,2024-10-04
2483229992,Michael Johnson,Smartwatch,2023-05-06,2025-04-19
JANHAFYBHHFD,David Brown,Headphones,2023-09-13,2025-03-25
EM15264665,Emily Davis,Tablet,2023-01-04,2023-12-03
TOXJVIZDMDKW,Emily Davis,Headphones,2023-04-27,2025-04-26
MV56918637,Michael Johnson,Smartphone,2023-02-18,2024-11-30
WQ56415582,David Brown,Smartphone,2023-12-06,2024-06-18
7715529571,Emily Davis,Smartwatch,2024-01-01,2025-02-13
OJ49550377,David Brown,Smartwatch,2023-05-04,2024-08-15
IGFHDDXPIA,John Doe,Tablet,2023-11-27,2025-05-01
BEVWLUMM,Jane Smith,Laptop,2023-08-26,2024-09-02
IG70506625,Emily Davis,Smartphone,2023-11-30,2024-08-28
JJIOSR,Michael Johnson,Smartphone,2023-05-15,2024-12-26
DV27887533,Jane Smith,Smartphone,2023-01-31,2023-08-14
3754598703,Emily Davis,Laptop,2023-03-27,2024-03-24
KTRNAZXNUEQ,David Brown,Tablet,2023-05-23,2025-03-25
6997297156,Jane Smith,Smartphone,2023-08-13,2024-06-01
EC83944977,John Doe,Laptop,2023-05-25,2025-04-24
CPIPSTJFY,John Doe,Tablet,2023-11-05,2024-10-05
RHVBMKQSUL,Michael Johnson,Smartphone,2023-02-26,2024-03-29
4921545711,Jane Smith,Smartphone,2023-06-22,2024-03-12
JVVKFB,Michael Johnson,Tablet,2023-09-24,2025-05-26
7195508853,Emily Davis,Laptop,2023-06-17,2024-01-02
GZ3434711,John Doe,Smartphone,2023-11-20,2025-06-10
9246851006,John Doe,Laptop,2023-07-20,2024-04-07
MF2002148,Emily Davis,Tablet,2023-05-15,2024-12-09
8967610312,David Brown,Smartwatch,2023-08-30,2025-05-18
9800922381,David Brown,Smartwatch,2023-04-28,2024-04-29
2192230497,Emily Davis,Smartwatch,2023-12-27,2025-10-28
1232743478,Emily Davis,Laptop,2023-04-21,2023-12-26
8898437336,David Brown,Headphones,2023-01-13,2023-07-16
WCGKXKPO,Emily Davis,Smartphone,2023-11-07,2025-04-19
HZLHAYPIW,Jane Smith,Tablet,2023-01-16,2023-11-17
CYQSFXCY,Michael Johnson,Laptop,2023-04-17,2024-09-30
2985583209,Michael Johnson,Headphones,2023-03-04,2024-03-20
KDQOYBQP,Michael Johnson,Tablet,2023-10-04,2024-09-01
9010713536,David Brown,Tablet,2023-08-05,2024-02-16
IZ50759271,Emily Davis,Smartphone,2023-10-20,2025-04-19
AXYWA,John Doe,Tablet,2023-04-13,2024-12-20
SRUZOIRQ,David Brown,Headphones,2023-06-04,2024-02-02
QLMNTGCQOAK,John Doe,Smartwatch,2023-10-27,2025-07-28
4311561392,John Doe,Smartphone,2023-03-04,2024-11-24
PYTTCYGBQJ,David Brown,Tablet,2023-07-20,2024-02-26
XLASATZ,Emily Davis,Tablet,2023-02-27,2024-04-03
1108347557,John Doe,Smartwatch,2023-08-14,2024-08-28
HE25071191,John Doe,Smartphone,2024-01-01,2025-04-04
LH45553287,Michael Johnson,Smartwatch,2023-10-01,2025-04-07
XOJBYTI,David Brown,Smartphone,2023-01-08,2023-09-08
CTYNWMHTQ,Michael Johnson,Smartwatch,2023-08-16,2025-07-26
FNPMIDGVQ,Jane Smith,Laptop,2023-06-03,2025-05-24
3000249339,John Doe,Headphones,2023-03-15,2024-04-08
HQ87499524,Emily Davis,Smartwatch,2023-02-08,2023-12-08
9069936731,John Doe,Laptop,2023-12-09,2025-04-18
YV40330117,David Brown,Smartphone,2023-09-25,2025-08-20
FEMFQDEHGHNU,Jane Smith,Smartphone,2023-01-14,2023-07-28
3534010411,Michael Johnson,Smartphone,2023-09-06,2025-09-02
2850315913,David Brown,Smartwatch,2023-05-29,2024-05-15
CE42990663,John Doe,Smartwatch,2023-07-13,2024-01-15
UL99184503,John Doe,Laptop,2023-09-07,2024-04-10
4304252617,Jane Smith,Smartphone,2023-07-25,2025-02-20
9158958179,Michael Johnson,Headphones,2023-01-05,2024-07-03
SR79368113,Jane Smith,Headphones,2023-08-07,2025-07-05
5879483993,David Brown,Tablet,2023-10-31,2025-01-25
BNJNFU,Michael Johnson,Tablet,2023-05-20,2024-11-28
JY36822727,Emily Davis,Tablet,2023-01-22,2023-08-30
3084267069,John Doe,Laptop,2023-04-30,2025-04-15
OX97662299,John Doe,Smartphone,2023-12-20,2025-10-13
EB63329715,Jane Smith,Laptop,2023-01-17,2024-09-21
GSAQNKJLT,John Doe,Tablet,2023-05-11,2024-01-15
6193895188,John Doe,Smartphone,2023-01-08,2024-05-24
EE45166307,Jane Smith,Headphones,2023-01-28,2024-06-22
DXAUVVWYBU,John Doe,Tablet,2023-02-01,2023-12-21
SS85228872,David Brown,Smartphone,2023-08-20,2024-07-26
QGMDEBJKXYSB,David Brown,Headphones,2023-07-12,2024-03-25
3352185438,Jane Smith,Laptop,2023-05-06,2024-10-20
PR10809447,David Brown,Laptop,2023-12-01,2024-11-15
3130824361,Michael Johnson,Smartwatch,2023-07-25,2025-04-22
MC63760638,David Brown,Smartphone,2023-05-17,2024-07-03
3106424215,David Brown,Tablet,2023-01-13,2024-07-02
6384817028,David Brown,Tablet,2023-11-26,2025-02-12
HNLQORE,Michael Johnson,Tablet,2023-03-22,2024-04-19
TB31651757,Jane Smith,Laptop,2023-02-01,2023-09-12
UVOVONIGJCS,Jane Smith,Headphones,2023-12-27,2025-11-09
8235738337,Michael Johnson,Tablet,2023-11-29,2024-07-31
2488135408,John Doe,Tablet,2023-12-23,2024-07-22
